Horodatage Unix;IP Source;IP Destination
-2208946675.233344                                ;BP-Linux8.22                                      ;192.168.190.130.50019                             
-2208946675.233306                                ;BP-Linux8.22                                      ;192.168.190.130.50019                             
-2208946675.233277                                ;BP-Linux8.22                                      ;192.168.190.130.50019                             
-2208946675.233256                                ;BP-Linux8.22                                      ;192.168.190.130.50019                             
-2208946675.214634                                ;192.168.190.130.50019                             ;BP-Linux8.22                                      
-2208946675.214616                                ;192.168.190.130.50019                             ;BP-Linux8.22                                      
-2208946675.214594                                ;192.168.190.130.50019                             ;BP-Linux8.22                                      
-2208946675.214546                                ;192.168.190.130.50019                             ;BP-Linux8.22                                      
-2208946674.231666                                ;BP-Linux8.58466                                   ;ns1.lan.rt.domain                                 
-2208946674.230925                                ;ns1.lan.rt.domain                                 ;BP-Linux8.58466                                   
-2208946673.330607                                ;192.168.190.130.50245                             ;BP-Linux8.22                                      
-2208946673.330094                                ;BP-Linux8.22                                      ;192.168.190.130.50245                             
-2208946673.320738                                ;BP-Linux8.53220                                   ;ns1.lan.rt.domain                                 
-2208946673.320029                                ;ns1.lan.rt.domain                                 ;BP-Linux8.53220                                   
-2208946673.318812                                ;BP-Linux8.22                                      ;192.168.190.130.50245                             
-2208946673.318778                                ;BP-Linux8.22                                      ;192.168.190.130.50245                             
-2208946673.318752                                ;190-0-175-100.gba.solunet.com.ar.2465             ;184.107.43.74.80                                  
-2208946673.318726                                ;190-0-175-100.gba.solunet.com.ar.2466             ;184.107.43.74.80                                  
-2208946673.318706                                ;190-0-175-100.gba.solunet.com.ar.2467             ;184.107.43.74.80                                  
-2208946673.318688                                ;190-0-175-100.gba.solunet.com.ar.2468             ;184.107.43.74.80                                  
-2208946673.318672                                ;190-0-175-100.gba.solunet.com.ar.2469             ;184.107.43.74.80                                  
-2208946673.318655                                ;190-0-175-100.gba.solunet.com.ar.2470             ;184.107.43.74.80                                  
-2208946673.318638                                ;190-0-175-100.gba.solunet.com.ar.2471             ;184.107.43.74.80                                  
-2208946673.318621                                ;190-0-175-100.gba.solunet.com.ar.2472             ;184.107.43.74.80                                  
-2208946673.318604                                ;190-0-175-100.gba.solunet.com.ar.2473             ;184.107.43.74.80                                  
-2208946673.318587                                ;190-0-175-100.gba.solunet.com.ar.2474             ;184.107.43.74.80                                  
-2208946673.31857                                 ;190-0-175-100.gba.solunet.com.ar.2475             ;184.107.43.74.80                                  
-2208946673.318554                                ;190-0-175-100.gba.solunet.com.ar.2476             ;184.107.43.74.80                                  
-2208946673.318537                                ;190-0-175-100.gba.solunet.com.ar.2477             ;184.107.43.74.80                                  
-2208946673.31852                                 ;190-0-175-100.gba.solunet.com.ar.2478             ;184.107.43.74.80                                  
-2208946673.318503                                ;190-0-175-100.gba.solunet.com.ar.2479             ;184.107.43.74.80                                  
-2208946673.318486                                ;190-0-175-100.gba.solunet.com.ar.2480             ;184.107.43.74.80                                  
-2208946673.318469                                ;190-0-175-100.gba.solunet.com.ar.2481             ;184.107.43.74.80                                  
-2208946673.318452                                ;190-0-175-100.gba.solunet.com.ar.2482             ;184.107.43.74.80                                  
-2208946673.318436                                ;190-0-175-100.gba.solunet.com.ar.2483             ;184.107.43.74.80                                  
