11:42:04.766656 IP BP-Linux8.ssh > 192.168.190.130.50019: Flags [P.], seq 2243505564:2243505672, ack 1972915080, win 312, options [nop,nop,TS val 102917262 ecr 377952805], length 108
11:42:04.766694 IP BP-Linux8.ssh > 192.168.190.130.50019: Flags [P.], seq 108:144, ack 1, win 312, options [nop,nop,TS val 102917262 ecr 377952805], length 36
11:42:04.766723 IP BP-Linux8.ssh > 192.168.190.130.50019: Flags [P.], seq 144:252, ack 1, win 312, options [nop,nop,TS val 102917262 ecr 377952805], length 108
11:42:04.766744 IP BP-Linux8.ssh > 192.168.190.130.50019: Flags [P.], seq 252:288, ack 1, win 312, options [nop,nop,TS val 102917262 ecr 377952805], length 36
11:42:04.785366 IP 192.168.190.130.50019 > BP-Linux8.ssh: Flags [.], ack 108, win 7319, options [nop,nop,TS val 377953205 ecr 102917262], length 0
11:42:04.785384 IP 192.168.190.130.50019 > BP-Linux8.ssh: Flags [.], ack 144, win 7318, options [nop,nop,TS val 377953205 ecr 102917262], length 0
11:42:04.785406 IP 192.168.190.130.50019 > BP-Linux8.ssh: Flags [.], ack 252, win 7316, options [nop,nop,TS val 377953205 ecr 102917262], length 0
11:42:04.785454 IP 192.168.190.130.50019 > BP-Linux8.ssh: Flags [.], ack 288, win 7320, options [nop,nop,TS val 377953205 ecr 102917262], length 0
11:42:05.768334 IP BP-Linux8.58466 > ns1.lan.rt.domain: 16550+ PTR? 130.190.168.192.in-addr.arpa. (46)
11:42:05.769075 IP ns1.lan.rt.domain > BP-Linux8.58466: 16550 NXDomain 0/1/0 (112)
11:42:06.669393 IP 192.168.190.130.50245 > BP-Linux8.ssh: Flags [P.], seq 1601828178:1601828214, ack 1851233244, win 2048, options [nop,nop,TS val 377955086 ecr 102913805], length 36
11:42:06.669906 IP BP-Linux8.ssh > 192.168.190.130.50245: Flags [P.], seq 1:37, ack 36, win 291, options [nop,nop,TS val 102917738 ecr 377955086], length 36
11:42:06.679262 IP BP-Linux8.53220 > ns1.lan.rt.domain: 54801+ A? lacampora.org. (31)
11:42:06.679971 IP ns1.lan.rt.domain > BP-Linux8.53220: 54801 1/0/0 A 184.107.43.74 (47)
11:42:06.681188 IP BP-Linux8.ssh > 192.168.190.130.50245: Flags [P.], seq 37:153, ack 36, win 291, options [nop,nop,TS val 102917741 ecr 377955086], length 116
11:42:06.681222 IP BP-Linux8.ssh > 192.168.190.130.50245: Flags [P.], seq 153:189, ack 36, win 291, options [nop,nop,TS val 102917741 ecr 377955086], length 36
11:42:06.681248 IP 190-0-175-100.gba.solunet.com.ar.2465 > 184.107.43.74.http: Flags [S], seq 326991629:326991749, win 512, length 120: HTTP
11:42:06.681274 IP 190-0-175-100.gba.solunet.com.ar.2466 > 184.107.43.74.http: Flags [S], seq 920517760:920517880, win 512, length 120: HTTP
11:42:06.681294 IP 190-0-175-100.gba.solunet.com.ar.2467 > 184.107.43.74.http: Flags [S], seq 556803824:556803944, win 512, length 120: HTTP
11:42:06.681312 IP 190-0-175-100.gba.solunet.com.ar.2468 > 184.107.43.74.http: Flags [S], seq 1921632185:1921632305, win 512, length 120: HTTP
11:42:06.681328 IP 190-0-175-100.gba.solunet.com.ar.2469 > 184.107.43.74.http: Flags [S], seq 1170972654:1170972774, win 512, length 120: HTTP
11:42:06.681345 IP 190-0-175-100.gba.solunet.com.ar.2470 > 184.107.43.74.http: Flags [S], seq 754504426:754504546, win 512, length 120: HTTP
11:42:06.681362 IP 190-0-175-100.gba.solunet.com.ar.2471 > 184.107.43.74.http: Flags [S], seq 669863147:669863267, win 512, length 120: HTTP
11:42:06.681379 IP 190-0-175-100.gba.solunet.com.ar.2472 > 184.107.43.74.http: Flags [S], seq 1036593434:1036593554, win 512, length 120: HTTP
11:42:06.681396 IP 190-0-175-100.gba.solunet.com.ar.2473 > 184.107.43.74.http: Flags [S], seq 473640609:473640729, win 512, length 120: HTTP
11:42:06.681413 IP 190-0-175-100.gba.solunet.com.ar.2474 > 184.107.43.74.http: Flags [S], seq 294639309:294639429, win 512, length 120: HTTP
11:42:06.681430 IP 190-0-175-100.gba.solunet.com.ar.2475 > 184.107.43.74.http: Flags [S], seq 2003734750:2003734870, win 512, length 120: HTTP
11:42:06.681446 IP 190-0-175-100.gba.solunet.com.ar.2476 > 184.107.43.74.http: Flags [S], seq 943277646:943277766, win 512, length 120: HTTP
11:42:06.681463 IP 190-0-175-100.gba.solunet.com.ar.2477 > 184.107.43.74.http: Flags [S], seq 612921749:612921869, win 512, length 120: HTTP
11:42:06.681480 IP 190-0-175-100.gba.solunet.com.ar.2478 > 184.107.43.74.http: Flags [S], seq 1079269685:1079269805, win 512, length 120: HTTP
11:42:06.681497 IP 190-0-175-100.gba.solunet.com.ar.2479 > 184.107.43.74.http: Flags [S], seq 1427118982:1427119102, win 512, length 120: HTTP
11:42:06.681514 IP 190-0-175-100.gba.solunet.com.ar.2480 > 184.107.43.74.http: Flags [S], seq 1481846896:1481847016, win 512, length 120: HTTP
11:42:06.681531 IP 190-0-175-100.gba.solunet.com.ar.2481 > 184.107.43.74.http: Flags [S], seq 807245684:807245804, win 512, length 120: HTTP
11:42:06.681548 IP 190-0-175-100.gba.solunet.com.ar.2482 > 184.107.43.74.http: Flags [S], seq 29032482:29032602, win 512, length 120: HTTP
11:42:06.681564 IP 190-0-175-100.gba.solunet.com.ar.2483 > 184.107.43.74.http: Flags [S], seq 2121432424:2121432544, win 512, length 120: HTTP
11:42:06.681581 IP 190-0-175-100.gba.solunet.com.ar.2484 > 184.107.43.74.http: Flags [S], seq 266983944:266984064, win 512, length 120: HTTP
11:42:06.681597 IP 190-0-175-100.gba.solunet.com.ar.2485 > 184.107.43.74.http: Flags [S], seq 780253659:780253779, win 512, length 120: HTTP
11:42:06.681614 IP 190-0-175-100.gba.solunet.com.ar.2486 > 184.107.43.74.http: Flags [S], seq 426927737:426927857, win 512, length 120: HTTP
11:42:06.681630 IP 190-0-175-100.gba.solunet.com.ar.2487 > 184.107.43.74.http: Flags [S], seq 2059846495:2059846615, win 512, length 120: HTTP
11:42:06.681647 IP 190-0-175-100.gba.solunet.com.ar.2488 > 184.107.43.74.http: Flags [S], seq 485695892:485696012, win 512, length 120: HTTP
11:42:06.681664 IP 190-0-175-100.gba.solunet.com.ar.2489 > 184.107.43.74.http: Flags [S], seq 1506899314:1506899434, win 512, length 120: HTTP
11:42:06.681681 IP 190-0-175-100.gba.solunet.com.ar.2490 > 184.107.43.74.http: Flags [S], seq 1974670292:1974670412, win 512, length 120: HTTP
11:42:06.681697 IP 190-0-175-100.gba.solunet.com.ar.2491 > 184.107.43.74.http: Flags [S], seq 984948282:984948402, win 512, length 120: HTTP
11:42:06.681722 IP 190-0-175-100.gba.solunet.com.ar.2492 > 184.107.43.74.http: Flags [S], seq 2071134208:2071134328, win 512, length 120: HTTP
11:42:06.681739 IP 190-0-175-100.gba.solunet.com.ar.2493 > 184.107.43.74.http: Flags [S], seq 582048290:582048410, win 512, length 120: HTTP
11:42:06.681756 IP 190-0-175-100.gba.solunet.com.ar.2494 > 184.107.43.74.http: Flags [S], seq 1414722580:1414722700, win 512, length 120: HTTP
11:42:06.681773 IP 190-0-175-100.gba.solunet.com.ar.2495 > 184.107.43.74.http: Flags [S], seq 1376167161:1376167281, win 512, length 120: HTTP
11:42:06.681789 IP 190-0-175-100.gba.solunet.com.ar.2496 > 184.107.43.74.http: Flags [S], seq 793373662:793373782, win 512, length 120: HTTP
11:42:06.681806 IP 190-0-175-100.gba.solunet.com.ar.2497 > 184.107.43.74.http: Flags [S], seq 586859843:586859963, win 512, length 120: HTTP
11:42:06.681823 IP 190-0-175-100.gba.solunet.com.ar.2498 > 184.107.43.74.http: Flags [S], seq 1313429529:1313429649, win 512, length 120: HTTP
11:42:06.681839 IP 190-0-175-100.gba.solunet.com.ar.2499 > 184.107.43.74.http: Flags [S], seq 599747608:599747728, win 512, length 120: HTTP
11:42:06.681856 IP 190-0-175-100.gba.solunet.com.ar.2500 > 184.107.43.74.http: Flags [S], seq 1764270382:1764270502, win 512, length 120: HTTP
11:42:06.681872 IP 190-0-175-100.gba.solunet.com.ar.2501 > 184.107.43.74.http: Flags [S], seq 1266534982:1266535102, win 512, length 120: HTTP
11:42:06.681889 IP 190-0-175-100.gba.solunet.com.ar.2502 > 184.107.43.74.http: Flags [S], seq 1923888203:1923888323, win 512, length 120: HTTP
11:42:06.681906 IP 190-0-175-100.gba.solunet.com.ar.2503 > 184.107.43.74.http: Flags [S], seq 477956184:477956304, win 512, length 120: HTTP
11:42:06.681924 IP 190-0-175-100.gba.solunet.com.ar.2504 > 184.107.43.74.http: Flags [S], seq 1697346829:1697346949, win 512, length 120: HTTP
11:42:06.681941 IP 190-0-175-100.gba.solunet.com.ar.2505 > 184.107.43.74.http: Flags [S], seq 1581732153:1581732273, win 512, length 120: HTTP
